"FID","ano","geoparent","granularity","geocode","isla","gcomarca","comarca","municipio","poblacion","poblacion_edad_media","poblacion_edad_media_d","poblacion_hombres","poblacion_mujeres","poblacion_indice_feminidad","poblacion_nacional","poblacion_extranjera","poblacion_extranjera_pc","poblacion_00a14","poblacion_15a64","poblacion_65mas","poblacion_65a74","poblacion_75a84","poblacion_85mas","poblacion_00a14_pc","poblacion_15a64_pc","poblacion_65mas_pc","poblacion_indice_dependencia","poblacion_indice_dependencia_may","poblacion_indice_dependencia_men","poblacion_indice_vejez","poblacion_indice_juventud","poblacion_indice_sobreenvejecimi","poblacion_indice_ancianidad","superficie","poblacion_ds","poblacion_extranjera_ds","poblacion_00a02","poblacion_03a05","poblacion_06a11","poblacion_12a15","poblacion_16a17","poblacion_00a17","poblacion_nacida_canarias","poblacion_nacida_es_xcanarias","poblacion_nacida_extranjero","poblacion_nacida_canarias_pc","poblacion_nacida_es_xcanarias_pc","poblacion_nacida_extranjero_pc","geom"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6b4a","2022","35015","GRID_250","250mN095200E193250","ES704","ES704A0","ES704A03","35015","355","36.9845","36.9785","189","166","87.8307","243","112","31.5493","62","275","18","","","","17.4648","77.4648","5.0704","29.0909","6.5455","22.5455","29.0323","344.4444","","","6.25","5680","1792","","","","","","","115","88","152","32.3944","24.7887","42.8169","MULTIPOLYGON (((28.172849607906816 -14.224361180191954, 28.17503526290305 -14.22498034036782, 28.175733730236907 -14.222550660029281, 28.17354805506501 -14.22193155058263, 28.172849607906816 -14.224361180191954)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6b6b","2022","35015","GRID_250","250mN095275E194000","ES704","ES704A0","ES704A03","35015","205","43.0317","43.0449","100","105","105","162","43","20.9756","23","146","36","","","","11.2195","71.2195","17.561","40.411","24.6575","15.7534","156.5217","63.8889","","","6.25","3280","688","","","","","","","131","20","54","63.9024","9.7561","26.3415","MULTIPOLYGON (((28.200331975053704 -14.153312324531814, 28.202518180971197 -14.153930111815612, 28.20321465517318 -14.151499380570508, 28.20102842911907 -14.150881644142165, 28.200331975053704 -14.153312324531814)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6c12","2022","35015","GRID_250","250mN095550E193450","ES704","ES704A0","ES704A03","35015","22","51.8636","51.8877","11","11","100","3","19","86.3636","","17","","","","","","77.2727","","","","","","","","","6.25","352","304","","","","","","","","","18","","","81.8182","MULTIPOLYGON (((28.20903506556974 -14.213590441976857, 28.211220630778467 -14.214209900721965, 28.211918833082144 -14.211779269689215, 28.209733247686568 -14.211159861751621, 28.20903506556974 -14.213590441976857)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6c26","2022","35015","GRID_250","250mN095575E193400","ES704","ES704A0","ES704A03","35015","258","45.3527","45.3608","145","113","77.931","170","88","34.1085","30","181","47","","","","11.6279","70.155","18.2171","42.5414","25.9669","16.5746","156.6667","63.8298","","","6.25","4128","1408","","","","","","","149","19","90","57.7519","7.3643","34.8837","MULTIPOLYGON (((28.209824020785938 -14.21907107275323, 28.212009527674407 -14.219690683465114, 28.212707887092538 -14.217260061652555, 28.210522360012636 -14.216640501743809, 28.209824020785938 -14.21907107275323)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6c27","2022","35015","GRID_250","250mN095575E193425","ES704","ES704A0","ES704A03","35015","61","54.4344","54.4212","31","30","96.7742","9","52","85.2459","","38","","","","","","62.2951","","","","","","","","","6.25","976","832","","","","","","","8","4","49","13.1148","6.5574","80.3279","MULTIPOLYGON (((28.210522360012636 -14.216640501743809, 28.212707887092538 -14.217260061652555, 28.213406178048345 -14.214829409823677, 28.211220630778467 -14.214209900721965, 28.210522360012636 -14.216640501743809)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6c28","2022","35015","GRID_250","250mN095575E193450","ES704","ES704A0","ES704A03","35015","28","47.1071","47.1144","12","16","133.3333","13","15","53.5714","","21","","","","","","75","","","","","","","","","6.25","448","240","","","","","","","6","6","16","21.4286","21.4286","57.1429","MULTIPOLYGON (((28.211220630778467 -14.214209900721965, 28.213406178048345 -14.214829409823677, 28.214104400540528 -14.212398727980032, 28.211918833082144 -14.211779269689215, 28.211220630778467 -14.214209900721965)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6c3d","2022","35015","GRID_250","250mN095600E193400","ES704","ES704A0","ES704A03","35015","47","43.1383","43.1772","27","20","74.0741","8","39","82.9787","5","36","6","","","","10.6383","76.5957","12.766","30.5556","16.6667","13.8889","120","83.3333","","","6.25","752","624","","","","","","","","","38","","","80.8511","MULTIPOLYGON (((28.212009527674407 -14.219690683465114, 28.21419501662083 -14.220310344544949, 28.214893396232036 -14.217879671925868, 28.212707887092538 -14.217260061652555, 28.212009527674407 -14.219690683465114)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6c3e","2022","35015","GRID_250","250mN095600E193450","ES704","ES704A0","ES704A03","35015","19","58.8684","58.8178","10","9","90","3","16","84.2105","0","13","6","","","","0","68.4211","31.5789","46.1538","46.1538","0","","0","","","6.25","304","256","","","","","","","","","16","","","84.2105","MULTIPOLYGON (((28.213406178048345 -14.214829409823677, 28.21559170737944 -14.215448969286577, 28.216289950061768 -14.213018236628647, 28.214104400540528 -14.212398727980032, 28.213406178048345 -14.214829409823677)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6c3f","2022","35015","GRID_250","250mN095600E193475","ES704","ES704A0","ES704A03","35015","32","53.8125","53.8254","19","13","68.4211","5","27","84.375","","21","","","","","","65.625","","","","","","","","","6.25","512","432","","","","","","","3","4","25","9.375","12.5","78.125","MULTIPOLYGON (((28.214104400540528 -14.212398727980032, 28.216289950061768 -14.213018236628647, 28.216988124277766 -14.210587473953616, 28.214802554567825 -14.209968016123169, 28.214104400540528 -14.212398727980032)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6c52","2022","35015","GRID_250","250mN095625E193400","ES704","ES704A0","ES704A03","35015","17","34.2647","34.2531","8","9","112.5","10","7","41.1765","","13","","","","","","76.4706","","","","","","","","","6.25","272","112","","","","","","","3","4","10","17.6471","23.5294","58.8235","MULTIPOLYGON (((28.21419501662083 -14.220310344544949, 28.216380487625276 -14.220930055997314, 28.21707888743119 -14.218499332568317, 28.214893396232036 -14.217879671925868, 28.21419501662083 -14.220310344544949)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6ce7","2022","35015","GRID_250","250mN095900E194275","ES704","ES704A0","ES704A03","35015","11","39.7727","39.7845","6","5","83.3333","","","","","7","","","","","","63.6364","","","","","","","","","6.25","176","","","","","","","","10","","","90.9091","","","MULTIPOLYGON (((28.262644521446628 -14.142018954798257, 28.26483050166699 -14.142637438692516, 28.265526726111517 -14.140205104721549, 28.263340725729822 -14.139586671810243, 28.262644521446628 -14.142018954798257)))"
