"FID","ano","geoparent","granularity","geocode","isla","gcomarca","comarca","municipio","poblacion","poblacion_edad_media","poblacion_edad_media_d","poblacion_hombres","poblacion_mujeres","poblacion_indice_feminidad","poblacion_nacional","poblacion_extranjera","poblacion_extranjera_pc","poblacion_00a14","poblacion_15a64","poblacion_65mas","poblacion_65a74","poblacion_75a84","poblacion_85mas","poblacion_00a14_pc","poblacion_15a64_pc","poblacion_65mas_pc","poblacion_indice_dependencia","poblacion_indice_dependencia_may","poblacion_indice_dependencia_men","poblacion_indice_vejez","poblacion_indice_juventud","poblacion_indice_sobreenvejecimi","poblacion_indice_ancianidad","superficie","poblacion_ds","poblacion_extranjera_ds","poblacion_00a02","poblacion_03a05","poblacion_06a11","poblacion_12a15","poblacion_16a17","poblacion_00a17","poblacion_nacida_canarias","poblacion_nacida_es_xcanarias","poblacion_nacida_extranjero","poblacion_nacida_canarias_pc","poblacion_nacida_es_xcanarias_pc","poblacion_nacida_extranjero_pc","geom"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2c6","2010","35015","GRID_250","250mN094225E191925","ES704","ES704A0","ES704A03","35015","118","39.8305","39.8691","60","58","96.6667","79","39","33.0508","6","109","3","","","","5.0847","92.3729","2.5424","8.2569","2.7523","5.5046","50","200","","","6.25","1888","624","","","","","","","18","57","43","15.2542","48.3051","36.4407","MULTIPOLYGON (((28.050521184828426 -14.32887608261936, 28.052706472036096 -14.32949596005568, 28.053407775822034 -14.327069838145231, 28.051222468425312 -14.326450011102144, 28.050521184828426 -14.32887608261936)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2c5","2010","35015","GRID_250","250mN094300E192000","ES704","ES704A0","ES704A03","35015","21","42.2619","42.3264","17","4","23.5294","11","10","47.619","","18","","","","","","85.7143","","","","","","","","","6.25","336","160","","","","","","","5","7","9","23.8095","33.3333","42.8571","MULTIPOLYGON (((28.059180819895623 -14.323457108054914, 28.06136611355305 -14.324076985241964, 28.062067272974357 -14.321650622407608, 28.059881959127328 -14.321030795635409, 28.059180819895623 -14.323457108054914)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2c3","2010","35015","GRID_250","250mN094225E191950","ES704","ES704A0","ES704A03","35015","10","46.4","46.4411","6","4","66.6667","","","","0","10","0","","","","0","100","0","0","0","0","","","","","6.25","160","","","","","","","","","","8","","","80","MULTIPOLYGON (((28.051222468425312 -14.326450011102144, 28.053407775822034 -14.327069838145231, 28.054109011299715 -14.324643686336815, 28.051923683715394 -14.324023909690819, 28.051222468425312 -14.326450011102144)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2c2","2010","35015","GRID_250","250mN094250E191750","ES704","ES704A0","ES704A03","35015","220","33.0773","33.0723","118","102","86.4407","128","92","41.8182","28","187","5","","","","12.7273","85","2.2727","17.6471","2.6738","14.9733","17.8571","560","","","6.24","3525.641","1474.359","","","","","","","21","101","98","9.5455","45.9091","44.5455","MULTIPOLYGON (((28.047907661016787 -14.346509833105255, 28.049980560800456 -14.347098256581722, 28.050682362909217 -14.34467229363007, 28.048497214918804 -14.344052063575853, 28.047839027522237 -14.34632728436266, 28.047907661016787 -14.346509833105255)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2c1","2010","35015","GRID_250","250mN094250E191775","ES704","ES704A0","ES704A03","35015","106","42.9151","42.9385","53","53","100","29","77","72.6415","5","84","17","","","","4.717","79.2453","16.0377","26.1905","20.2381","5.9524","340","29.4118","","","6.25","1696","1232","","","","","","","9","17","80","8.4906","16.0377","75.4717","MULTIPOLYGON (((28.048497214918804 -14.344052063575853, 28.050682362909217 -14.34467229363007, 28.051384096717225 -14.342246300765943, 28.049198928527414 -14.341626121085142, 28.048497214918804 -14.344052063575853)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2bf","2010","35015","GRID_250","250mN094250E191825","ES704","ES704A0","ES704A03","35015","40","30.525","30.5016","17","23","135.2941","21","19","47.5","","32","","","","","","80","","","","","","","","","6.25","640","304","","","","","","","15","5","20","37.5","12.5","50","MULTIPOLYGON (((28.04990057383544 -14.339200148687343, 28.05208576222319 -14.339820277990869, 28.05278735942582 -14.337394225306374, 28.050602150841595 -14.33677414638398, 28.04990057383544 -14.339200148687343)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2be","2010","35015","GRID_250","250mN094250E191850","ES704","ES704A0","ES704A03","35015","17","31.0294","30.9799","10","7","70","","","","4","13","0","","","","23.5294","76.4706","0","30.7692","0","30.7692","0","","","","6.25","272","","","","","","","","15","","","88.2353","","","MULTIPOLYGON (((28.050602150841595 -14.33677414638398, 28.05278735942582 -14.337394225306374, 28.05348888832387 -14.334968142713965, 28.0513036595446 -14.33434811417657, 28.050602150841595 -14.33677414638398)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2bd","2010","35015","GRID_250","250mN094250E191875","ES704","ES704A0","ES704A03","35015","18","39.8333","39.7839","10","8","80","15","3","16.6667","","17","","","","","","94.4444","","","","","","","","","6.25","288","48","","","","","","","13","","","72.2222","","","MULTIPOLYGON (((28.0513036595446 -14.33434811417657, 28.05348888832387 -14.334968142713965, 28.05419034891605 -14.332542030215171, 28.052005099943198 -14.331922052066641, 28.0513036595446 -14.33434811417657)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2bc","2010","35015","GRID_250","250mN094250E192050","ES704","ES704A0","ES704A03","35015","210","39.5143","39.5475","142","68","47.8873","71","139","66.1905","5","202","3","","","","2.381","96.1905","1.4286","3.9604","1.4851","2.4752","60","166.6667","","","6.2112","3380.9892","2237.8928","","","","","","","20","47","143","9.5238","22.381","68.0952","MULTIPOLYGON (((28.05676612067719 -14.31544812995423, 28.056212307870624 -14.317365051538884, 28.058397677974547 -14.31798472727318, 28.059098660389974 -14.315558405472165, 28.05704281618152 -14.314975509751918, 28.057041569658903 -14.31497727306327, 28.05676612067719 -14.31544812995423)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2bb","2010","35015","GRID_250","250mN094275E191650","ES704","ES704A0","ES704A03","35015","64","42.9062","42.8771","28","36","128.5714","43","21","32.8125","5","50","9","","","","7.8125","78.125","14.0625","28","18","10","180","55.5556","","","1.9347","3308.0064","1085.4396","","","","","","","38","3","23","59.375","4.6875","35.9375","MULTIPOLYGON (((28.048990155385066 -14.35469270265543, 28.048976264415057 -14.35505072374235, 28.04910411537559 -14.356334570419804, 28.049110184864887 -14.35640425245826, 28.049099409281357 -14.356537143371206, 28.0490731883869 -14.356808382216299, 28.04903315018154 -14.356955799788668, 28.048988478829195 -14.35707614103049, 28.048890851401417 -14.357289758247907, 28.049357698294337 -14.3574223414576, 28.050059793801694 -14.354996447813503, 28.048990155385066 -14.35469270265543)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2b9","2010","35015","GRID_250","250mN094275E191675","ES704","ES704A0","ES704A03","35015","527","37.6063","37.6327","280","247","88.2143","369","158","29.981","56","426","45","","","","10.6262","80.8349","8.5389","23.7089","10.5634","13.1455","80.3571","124.4444","","","3.6734","14346.3821","4301.1924","","","","","","","264","99","164","50.0949","18.7856","31.1195","MULTIPOLYGON (((28.04936186492752 -14.352173015958144, 28.049366422583915 -14.352370030168963, 28.049036839819212 -14.353489296942339, 28.048990155385066 -14.35469270265543, 28.050059793801694 -14.354996447813503, 28.050761821011942 -14.352570524247016, 28.04936186492752 -14.352173015958144)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2b8","2010","35015","GRID_250","250mN094275E191700","ES704","ES704A0","ES704A03","35015","321","37.9268","37.9431","166","155","93.3735","183","138","42.9907","25","271","25","","","","7.7882","84.4237","7.7882","18.4502","9.2251","9.2251","100","100","","","5.4308","5910.7314","2541.0621","","","","","","","98","71","152","30.5296","22.1184","47.352","MULTIPOLYGON (((28.04936186492752 -14.352173015958144, 28.050761821011942 -14.352570524247016, 28.0514637799238 -14.350144570759664, 28.049278690392192 -14.349524189619405, 28.049060571656643 -14.350278028255978, 28.04908916031902 -14.350414742554184, 28.049354879365225 -14.351871074178462, 28.04936186492752 -14.352173015958144)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2b7","2010","35015","GRID_250","250mN094275E191725","ES704","ES704A0","ES704A03","35015","403","34.0633","34.0612","200","203","101.5","159","244","60.5459","54","342","7","","","","13.3995","84.8635","1.737","17.8363","2.0468","15.7895","12.963","771.4286","","","6.25","6448","3904","","","","","","","87","63","253","21.5881","15.6328","62.7792","MULTIPOLYGON (((28.049278690392192 -14.349524189619405, 28.0514637799238 -14.350144570759664, 28.052165670535988 -14.347718587352949, 28.049980560800456 -14.347098256581722, 28.049278690392192 -14.349524189619405)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2b6","2010","35015","GRID_250","250mN094275E191750","ES704","ES704A0","ES704A03","35015","71","44.9225","44.8858","35","36","102.8571","36","35","49.2958","6","50","15","","","","8.4507","70.4225","21.1268","42","30","12","250","40","","","6.25","1136","560","","","","","","","29","5","37","40.8451","7.0423","52.1127","MULTIPOLYGON (((28.049980560800456 -14.347098256581722, 28.052165670535988 -14.347718587352949, 28.05286749284723 -14.345292574028397, 28.050682362909217 -14.34467229363007, 28.049980560800456 -14.347098256581722)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2b5","2010","35015","GRID_250","250mN094300E191625","ES704","ES704A0","ES704A03","35015","21","33.2143","33.1465","11","10","90.9091","16","5","23.8095","","17","","","","","","80.9524","","","","","","","","","4.2487","494.2688","117.6831","","","","","","","11","6","4","52.381","28.5714","19.0476","MULTIPOLYGON (((28.04894948978357 -14.35883265862471, 28.04951750246932 -14.3584796019447, 28.049731766941026 -14.358864816759686, 28.05006999994789 -14.359507852099085, 28.050744853693686 -14.3604416627246, 28.050840525130422 -14.360468838124255, 28.051542709144993 -14.35804292404715, 28.049357698294337 -14.3574223414576, 28.04894948978357 -14.35883265862471)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2b4","2010","35015","GRID_250","250mN094300E191650","ES704","ES704A0","ES704A03","35015","636","33.8097","33.7708","332","304","91.5663","384","252","39.6226","110","508","18","","","","17.2956","79.8742","2.8302","25.1969","3.5433","21.6535","16.3636","611.1111","","","6.25","10176","4032","","","","","","","262","112","262","41.195","17.6101","41.195","MULTIPOLYGON (((28.049357698294337 -14.3574223414576, 28.051542709144993 -14.35804292404715, 28.052244824862257 -14.35561698004227, 28.050059793801694 -14.354996447813503, 28.049357698294337 -14.3574223414576)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2b3","2010","35015","GRID_250","250mN094300E191675","ES704","ES704A0","ES704A03","35015","1110","34.8892","34.9099","605","505","83.4711","611","499","44.955","146","915","49","","","","13.1532","82.4324","4.4144","21.3115","5.3552","15.9563","33.5616","297.9592","","","6.25","17760","7984","","","","","","","411","178","521","37.027","16.036","46.9369","MULTIPOLYGON (((28.050059793801694 -14.354996447813503, 28.052244824862257 -14.35561698004227, 28.052946872280966 -14.353191006111148, 28.050761821011942 -14.352570524247016, 28.050059793801694 -14.354996447813503)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2b2","2010","35015","GRID_250","250mN094300E191700","ES704","ES704A0","ES704A03","35015","803","34.5448","34.5419","433","370","85.4503","479","324","40.3487","113","655","35","","","","14.0722","81.5691","4.3587","22.5954","5.3435","17.2519","30.9735","322.8571","","","6.25","12848","5184","","","","","","","287","169","347","35.741","21.0461","43.213","MULTIPOLYGON (((28.050761821011942 -14.352570524247016, 28.052946872280966 -14.353191006111148, 28.05364885139982 -14.350765002255278, 28.0514637799238 -14.350144570759664, 28.050761821011942 -14.352570524247016)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2b1","2010","35015","GRID_250","250mN094300E191725","ES704","ES704A0","ES704A03","35015","10","33.8","33.9146","4","6","150","","","","","7","","","","","","70","","","","","","","","","6.25","160","","","","","","","","5","","","50","","","MULTIPOLYGON (((28.0514637799238 -14.350144570759664, 28.05364885139982 -14.350765002255278, 28.054350762217574 -14.348338968476192, 28.052165670535988 -14.347718587352949, 28.0514637799238 -14.350144570759664)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2b0","2010","35015","GRID_250","250mN094300E192025","ES704","ES704A0","ES704A03","35015","50","28.4","28.421","20","30","150","38","12","24","13","37","0","","","","26","74","0","35.1351","0","35.1351","0","","","","6.25","800","192","","","","","","","13","21","16","26","42","32","MULTIPOLYGON (((28.059881959127328 -14.321030795635409, 28.062067272974357 -14.321650622407608, 28.062768364079247 -14.319224229668254, 28.060583030044047 -14.318604453314785, 28.059881959127328 -14.321030795635409)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2af","2010","35015","GRID_250","250mN094300E192050","ES704","ES704A0","ES704A03","35015","34","38.1765","38.115","15","19","126.6667","16","18","52.9412","4","27","3","","","","11.7647","79.4118","8.8235","25.9259","11.1111","14.8148","75","133.3333","","","6.25","544","288","","","","","","","4","6","24","11.7647","17.6471","70.5882","MULTIPOLYGON (((28.060583030044047 -14.318604453314785, 28.062768364079247 -14.319224229668254, 28.063469386866448 -14.31679780702543, 28.06128403264456 -14.316178081094536, 28.060583030044047 -14.318604453314785)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2ae","2010","35015","GRID_250","250mN094325E191625","ES704","ES704A0","ES704A03","35015","29","34.4655","34.4072","17","12","70.5882","23","6","20.6897","","23","","","","","","79.3103","","","","","","","","","6.25","464","96","","","","","","","15","5","9","51.7241","17.2414","31.0345","MULTIPOLYGON (((28.050840525130422 -14.360468838124255, 28.053025497707647 -14.36108952144402, 28.053727701935202 -14.358663557006649, 28.051542709144993 -14.35804292404715, 28.050840525130422 -14.360468838124255)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2ad","2010","35015","GRID_250","250mN094325E191675","ES704","ES704A0","ES704A03","35015","809","33.0896","33.1168","471","338","71.7622","447","362","44.7466","124","654","31","","","","15.3276","80.8405","3.8319","23.7003","4.7401","18.9602","25","400","","","6.25","12944","5792","","","","","","","282","146","381","34.8578","18.047","47.0952","MULTIPOLYGON (((28.052244824862257 -14.35561698004227, 28.054429837864003 -14.356237562637649, 28.055131905492807 -14.353811538338535, 28.052946872280966 -14.353191006111148, 28.052244824862257 -14.35561698004227)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2ac","2010","35015","GRID_250","250mN094325E191700","ES704","ES704A0","ES704A03","35015","123","34.9146","34.9775","74","49","66.2162","62","61","49.5935","13","106","4","","","","10.5691","86.1789","3.252","16.0377","3.7736","12.2642","30.7692","325","","","6.25","1968","976","","","","","","","47","16","60","38.2114","13.0081","48.7805","MULTIPOLYGON (((28.052946872280966 -14.353191006111148, 28.055131905492807 -14.353811538338535, 28.055833904820304 -14.351385484110816, 28.05364885139982 -14.350765002255278, 28.052946872280966 -14.353191006111148)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2ab","2010","35015","GRID_250","250mN094325E192125","ES704","ES704A0","ES704A03","35015","15","30.4333","30.417","10","5","50","7","8","53.3333","","14","","","","","","93.3333","","","","","","","","","6.25","240","128","","","","","","","0","7","8","0","46.6667","53.3333","MULTIPOLYGON (((28.06487122748268 -14.311944872035426, 28.067056604044264 -14.312564547415947, 28.06775744205473 -14.310137984634302, 28.065572045309164 -14.309518359691289, 28.06487122748268 -14.311944872035426)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2aa","2010","35015","GRID_250","250mN094350E191675","ES704","ES704A0","ES704A03","35015","170","34.0118","34.0622","97","73","75.2577","81","89","52.3529","","152","","","","","","89.4118","","","","","","","","","6.25","2720","1424","","","","","","","45","35","90","26.4706","20.5882","52.9412","MULTIPOLYGON (((28.054429837864003 -14.356237562637649, 28.056614832807032 -14.356858195604197, 28.057316920647555 -14.354432120933755, 28.055131905492807 -14.353811538338535, 28.054429837864003 -14.356237562637649)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2a9","2010","35015","GRID_250","250mN094350E191700","ES704","ES704A0","ES704A03","35015","83","35.4759","35.5309","47","36","76.5957","67","16","19.2771","8","72","3","","","","9.6386","86.747","3.6145","15.2778","4.1667","11.1111","37.5","266.6667","","","6.25","1328","256","","","","","","","43","17","23","51.8072","20.4819","27.7108","MULTIPOLYGON (((28.055131905492807 -14.353811538338535, 28.057316920647555 -14.354432120933755, 28.058018940185335 -14.352006016330845, 28.055833904820304 -14.351385484110816, 28.055131905492807 -14.353811538338535)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2a8","2010","35015","GRID_250","250mN094375E191675","ES704","ES704A0","ES704A03","35015","438","31.71","31.734","227","211","92.9515","329","109","24.8858","94","328","16","","","","21.4612","74.8858","3.653","33.5366","4.878","28.6585","17.0213","587.5","","","6.25","7008","1744","","","","","","","209","102","127","47.7169","23.2877","28.9954","MULTIPOLYGON (((28.056614832807032 -14.356858195604197, 28.058799809691397 -14.357478878946486, 28.059501917745294 -14.355052753901356, 28.057316920647555 -14.354432120933755, 28.056614832807032 -14.356858195604197)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2a7","2010","35015","GRID_250","250mN094375E191700","ES704","ES704A0","ES704A03","35015","695","30.7777","30.797","359","336","93.5933","549","146","21.0072","140","540","15","","","","20.1439","77.6978","2.1583","28.7037","2.7778","25.9259","10.7143","933.3333","","","6.25","11120","2336","","","","","","","409","130","156","58.8489","18.705","22.446","MULTIPOLYGON (((28.057316920647555 -14.354432120933755, 28.059501917745294 -14.355052753901356, 28.06020395749499 -14.352626598919912, 28.058018940185335 -14.352006016330845, 28.057316920647555 -14.354432120933755)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2a6","2010","35015","GRID_250","250mN094375E192175","ES704","ES704A0","ES704A03","35015","16","37.375","37.2456","8","8","100","8","8","50","","14","","","","","","87.5","","","","","","","","","6.25","256","128","","","","","","","0","8","8","0","50","50","MULTIPOLYGON (((28.070643610643046 -14.308331016757275, 28.07282899151919 -14.308950691871958, 28.073529733246964 -14.306523968388797, 28.071344332186477 -14.305904343726054, 28.070643610643046 -14.308331016757275)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2a4","2010","35015","GRID_250","250mN094400E191675","ES704","ES704A0","ES704A03","35015","318","30.9686","31.0071","159","159","100","266","52","16.3522","70","239","9","","","","22.0126","75.1572","2.8302","33.0544","3.7657","29.2887","12.8571","777.7778","","","6.25","5088","832","","","","","","","151","97","70","47.4843","30.5031","22.0126","MULTIPOLYGON (((28.058799809691397 -14.357478878946486, 28.060984768517184 -14.358099612669069, 28.061686896786085 -14.355673437245931, 28.059501917745294 -14.355052753901356, 28.058799809691397 -14.357478878946486)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2a3","2010","35015","GRID_250","250mN094400E191700","ES704","ES704A0","ES704A03","35015","392","31.1735","31.1441","199","193","96.9849","279","113","28.8265","79","305","8","","","","20.1531","77.8061","2.0408","28.5246","2.623","25.9016","10.1266","987.5","","","6.25","6272","1808","","","","","","","196","71","125","50","18.1122","31.8878","MULTIPOLYGON (((28.059501917745294 -14.355052753901356, 28.061686896786085 -14.355673437245931, 28.062388956749338 -14.35324723188261, 28.06020395749499 -14.352626598919912, 28.059501917745294 -14.355052753901356)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2a2","2010","35015","GRID_250","250mN094400E192175","ES704","ES704A0","ES704A03","35015","12","34.8333","34.7057","7","5","71.4286","8","4","33.3333","0","12","0","","","","0","100","0","0","0","0","","","","","6.25","192","64","","","","","","","","8","","","66.6667","","MULTIPOLYGON (((28.07282899151919 -14.308950691871958, 28.07501435436948 -14.309570417300005, 28.075715116283256 -14.30714364336155, 28.073529733246964 -14.306523968388797, 28.07282899151919 -14.308950691871958)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2a1","2010","35015","GRID_250","250mN094400E192250","ES704","ES704A0","ES704A03","35015","39","46.7051","46.7626","26","13","50","12","27","69.2308","","26","","","","","","66.6667","","","","","","","","","6.25","624","432","","","","","","","3","10","26","7.6923","25.641","66.6667","MULTIPOLYGON (((28.074931011712174 -14.301670431706219, 28.077116435116064 -14.302290005756795, 28.077816992032556 -14.29986314209355, 28.075631548447046 -14.299243618509848, 28.074931011712174 -14.301670431706219)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2a0","2010","35015","GRID_250","250mN094425E191675","ES704","ES704A0","ES704A03","35015","464","26.7134","26.7303","244","220","90.1639","356","108","23.2759","146","312","6","","","","31.4655","67.2414","1.2931","48.7179","1.9231","46.7949","4.1096","2433.3333","","","6.25","7424","1728","","","","","","","276","73","115","59.4828","15.7328","24.7845","MULTIPOLYGON (((28.060984768517184 -14.358099612669069, 28.063169709284477 -14.358720396776508, 28.063871857770017 -14.356294170972024, 28.061686896786085 -14.355673437245931, 28.060984768517184 -14.358099612669069)))"
