"FID","ano","geoparent","granularity","geocode","isla","gcomarca","comarca","municipio","poblacion","poblacion_edad_media","poblacion_edad_media_d","poblacion_hombres","poblacion_mujeres","poblacion_indice_feminidad","poblacion_nacional","poblacion_extranjera","poblacion_extranjera_pc","poblacion_00a14","poblacion_15a64","poblacion_65mas","poblacion_65a74","poblacion_75a84","poblacion_85mas","poblacion_00a14_pc","poblacion_15a64_pc","poblacion_65mas_pc","poblacion_indice_dependencia","poblacion_indice_dependencia_may","poblacion_indice_dependencia_men","poblacion_indice_vejez","poblacion_indice_juventud","poblacion_indice_sobreenvejecimi","poblacion_indice_ancianidad","superficie","poblacion_ds","poblacion_extranjera_ds","poblacion_00a02","poblacion_03a05","poblacion_06a11","poblacion_12a15","poblacion_16a17","poblacion_00a17","poblacion_nacida_canarias","poblacion_nacida_es_xcanarias","poblacion_nacida_extranjero","poblacion_nacida_canarias_pc","poblacion_nacida_es_xcanarias_pc","poblacion_nacida_extranjero_pc","geom"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2d1","2010","35015","GRID_250","250mN095100E193975","ES704","ES704A0","ES704A03","35015","32","30.3125","30.4838","24","8","33.3333","10","22","68.75","","24","","","","","","75","","","","","","","","","6.25","512","352","","","","","","","11","0","21","34.375","0","65.625","MULTIPOLYGON (((28.18433165070341 -14.151419514242598, 28.186517961822478 -14.152037000860226, 28.18721436356638 -14.149606655439104, 28.185028032320677 -14.148989219649325, 28.18433165070341 -14.151419514242598)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2d0","2010","35015","GRID_250","250mN094200E191875","ES704","ES704A0","ES704A03","35015","62","43.1452","43.1461","39","23","58.9744","48","14","22.5806","4","54","4","","","","6.4516","87.0968","6.4516","14.8148","7.4074","7.4074","100","100","","","6.25","992","224","","","","","","","7","40","15","11.2903","64.5161","24.1935","MULTIPOLYGON (((28.046933147848193 -14.333108208075762, 28.04911841271941 -14.333728135965359, 28.04981983292604 -14.331302124240937, 28.047634547864508 -14.33068224673351, 28.046933147848193 -14.333108208075762)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2cf","2010","35015","GRID_250","250mN094225E191800","ES704","ES704A0","ES704A03","35015","190","34.7053","34.6892","112","78","69.6429","77","113","59.4737","20","165","5","","","","10.5263","86.8421","2.6316","15.1515","3.0303","12.1212","25","400","","","6.25","3040","1808","","","","","","","44","36","110","23.1579","18.9474","57.8947","MULTIPOLYGON (((28.047013742286794 -14.341005991740543, 28.049198928527414 -14.341626121085142, 28.04990057383544 -14.339200148687343, 28.0477153673985 -14.33858006971668, 28.047013742286794 -14.341005991740543)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2ce","2010","35015","GRID_250","250mN095125E193200","ES704","ES704A0","ES704A03","35015","18","41.5","41.5376","13","5","38.4615","11","7","38.8889","","17","","","","","","94.4444","","","","","","","","","6.25","288","112","","","","","","","","10","","","55.5556","","MULTIPOLYGON (((28.16489555664173 -14.22736286655726, 28.16708122515158 -14.22798197722863, 28.167779768816157 -14.225552508984023, 28.165594080132625 -14.224933449023998, 28.16489555664173 -14.22736286655726)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2cd","2010","35015","GRID_250","250mN094225E191825","ES704","ES704A0","ES704A03","35015","158","35.3608","35.443","98","60","61.2245","41","117","74.0506","","146","","","","","","92.4051","","","","","","","","","6.25","2528","1872","","","","","","","15","22","121","9.4937","13.9241","76.5823","MULTIPOLYGON (((28.0477153673985 -14.33858006971668, 28.04990057383544 -14.339200148687343, 28.050602150841595 -14.33677414638398, 28.048416924209796 -14.336154117791116, 28.0477153673985 -14.33858006971668)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2cc","2010","35015","GRID_250","250mN094275E192000","ES704","ES704A0","ES704A03","35015","20","34.3","34.2207","10","10","100","14","6","30","0","20","0","","","","0","100","0","0","0","0","","","","","6.25","320","96","","","","","","","0","12","8","0","60","40","MULTIPOLYGON (((28.0569955082006 -14.322837281186422, 28.059180819895623 -14.323457108054914, 28.059881959127328 -14.321030795635409, 28.057696627244336 -14.320411019178437, 28.0569955082006 -14.322837281186422)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2cb","2010","35015","GRID_250","250mN094225E191850","ES704","ES704A0","ES704A03","35015","659","35.8642","35.8789","359","300","83.5655","342","317","48.1032","81","553","25","","","","12.2914","83.915","3.7936","19.1682","4.5208","14.6474","30.8642","324","","","6.25","10544","5072","","","","","","","135","182","342","20.4856","27.6176","51.8968","MULTIPOLYGON (((28.048416924209796 -14.336154117791116, 28.050602150841595 -14.33677414638398, 28.0513036595446 -14.33434811417657, 28.04911841271941 -14.333728135965359, 28.048416924209796 -14.336154117791116)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2ca","2010","35015","GRID_250","250mN094300E191925","ES704","ES704A0","ES704A03","35015","52","34.4038","34.4192","27","25","92.5926","30","22","42.3077","","50","","","","","","96.1538","","","","","","","","","6.25","832","352","","","","","","","8","22","22","15.3846","42.3077","42.3077","MULTIPOLYGON (((28.057076992323495 -14.330735865891358, 28.059262225403376 -14.331355894299826, 28.05996358976629 -14.328929621189591, 28.057778336492436 -14.328309643184395, 28.057076992323495 -14.330735865891358)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2c9","2010","35015","GRID_250","250mN094225E191875","ES704","ES704A0","ES704A03","35015","175","40.3","40.3469","95","80","84.2105","62","113","64.5714","28","125","22","","","","16","71.4286","12.5714","40","17.6","22.4","78.5714","127.2727","","","6.25","2800","1808","","","","","","","32","32","111","18.2857","18.2857","63.4286","MULTIPOLYGON (((28.04911841271941 -14.333728135965359, 28.0513036595446 -14.33434811417657, 28.052005099943198 -14.331922052066641, 28.04981983292604 -14.331302124240937, 28.04911841271941 -14.333728135965359)))"
"Malla de 250m-20100101.fid-784d4b83_19a7406b760_-2c7","2010","35015","GRID_250","250mN094225E191900","ES704","ES704A0","ES704A03","35015","28","38.7143","38.7372","15","13","86.6667","12","16","57.1429","","27","","","","","","96.4286","","","","","","","","","6.25","448","256","","","","","","","5","6","17","17.8571","21.4286","60.7143","MULTIPOLYGON (((28.04981983292604 -14.331302124240937, 28.052005099943198 -14.331922052066641, 28.052706472036096 -14.32949596005568, 28.050521184828426 -14.32887608261936, 28.04981983292604 -14.331302124240937)))"
