"FID","ano","geoparent","granularity","geocode","isla","gcomarca","comarca","municipio","poblacion","poblacion_edad_media","poblacion_edad_media_d","poblacion_hombres","poblacion_mujeres","poblacion_indice_feminidad","poblacion_nacional","poblacion_extranjera","poblacion_extranjera_pc","poblacion_00a14","poblacion_15a64","poblacion_65mas","poblacion_65a74","poblacion_75a84","poblacion_85mas","poblacion_00a14_pc","poblacion_15a64_pc","poblacion_65mas_pc","poblacion_indice_dependencia","poblacion_indice_dependencia_may","poblacion_indice_dependencia_men","poblacion_indice_vejez","poblacion_indice_juventud","poblacion_indice_sobreenvejecimi","poblacion_indice_ancianidad","superficie","poblacion_ds","poblacion_extranjera_ds","poblacion_00a02","poblacion_03a05","poblacion_06a11","poblacion_12a15","poblacion_16a17","poblacion_00a17","poblacion_nacida_canarias","poblacion_nacida_es_xcanarias","poblacion_nacida_extranjero","poblacion_nacida_canarias_pc","poblacion_nacida_es_xcanarias_pc","poblacion_nacida_extranjero_pc","geom"
"Malla de 250m-20160101.fid-784d4b83_19a7406b760_300b","2016","35015","GRID_250","250mN095000E193150","ES704","ES704A0","ES704A03","35015","14","53.4286","53.4053","7","7","100","","","","","9","","","","","","64.2857","","","","","","","","","4.4231","316.5201","","","","","","","","","","13","","","92.8571","MULTIPOLYGON (((28.155132799339576 -14.227225105181088, 28.154456633266946 -14.227567727290536, 28.153640346757225 -14.227940267645145, 28.153083659127272 -14.22820260597425, 28.152783833882445 -14.228382391928518, 28.152569894202212 -14.229126305969055, 28.154755612160383 -14.229745266523741, 28.155454191805994 -14.227316111686026, 28.155132799339576 -14.227225105181088)))"
"Malla de 250m-20160101.fid-784d4b83_19a7406b760_3016","2016","35015","GRID_250","250mN094200E191875","ES704","ES704A0","ES704A03","35015","15","50.3667","50.375","9","6","66.6667","15","0","0","","14","","","","","","93.3333","","","","","","","","","6.25","240","0","","","","","","","","14","","","93.3333","","MULTIPOLYGON (((28.046933147848193 -14.333108208075762, 28.04911841271941 -14.333728135965359, 28.04981983292604 -14.331302124240937, 28.047634547864508 -14.33068224673351, 28.046933147848193 -14.333108208075762)))"
"Malla de 250m-20160101.fid-784d4b83_19a7406b760_3017","2016","35015","GRID_250","250mN094225E191800","ES704","ES704A0","ES704A03","35015","191","39.0026","38.9748","104","87","83.6538","92","99","51.8325","21","152","18","","","","10.9948","79.5812","9.4241","25.6579","11.8421","13.8158","85.7143","116.6667","","","6.25","3056","1584","","","","","","","53","29","109","27.7487","15.1832","57.0681","MULTIPOLYGON (((28.047013742286794 -14.341005991740543, 28.049198928527414 -14.341626121085142, 28.04990057383544 -14.339200148687343, 28.0477153673985 -14.33858006971668, 28.047013742286794 -14.341005991740543)))"
"Malla de 250m-20160101.fid-784d4b83_19a7406b760_3018","2016","35015","GRID_250","250mN094225E191825","ES704","ES704A0","ES704A03","35015","73","35.5548","35.5773","39","34","87.1795","43","30","41.0959","17","49","7","","","","23.2877","67.1233","9.589","48.9796","14.2857","34.6939","41.1765","242.8571","","","6.25","1168","480","","","","","","","21","15","37","28.7671","20.5479","50.6849","MULTIPOLYGON (((28.0477153673985 -14.33858006971668, 28.04990057383544 -14.339200148687343, 28.050602150841595 -14.33677414638398, 28.048416924209796 -14.336154117791116, 28.0477153673985 -14.33858006971668)))"
"Malla de 250m-20160101.fid-784d4b83_19a7406b760_3019","2016","35015","GRID_250","250mN094225E191850","ES704","ES704A0","ES704A03","35015","684","37.693","37.6967","352","332","94.3182","387","297","43.4211","74","579","31","","","","10.8187","84.6491","4.5322","18.1347","5.3541","12.7807","41.8919","238.7097","","","6.25","10944","4752","","","","","","","163","173","348","23.8304","25.2924","50.8772","MULTIPOLYGON (((28.048416924209796 -14.336154117791116, 28.050602150841595 -14.33677414638398, 28.0513036595446 -14.33434811417657, 28.04911841271941 -14.333728135965359, 28.048416924209796 -14.336154117791116)))"
"Malla de 250m-20160101.fid-784d4b83_19a7406b760_301a","2016","35015","GRID_250","250mN094225E191875","ES704","ES704A0","ES704A03","35015","125","41.26","41.2993","73","52","71.2329","69","56","44.8","13","96","16","","","","10.4","76.8","12.8","30.2083","16.6667","13.5417","123.0769","81.25","","","6.25","2000","896","","","","","","","31","30","64","24.8","24","51.2","MULTIPOLYGON (((28.04911841271941 -14.333728135965359, 28.0513036595446 -14.33434811417657, 28.052005099943198 -14.331922052066641, 28.04981983292604 -14.331302124240937, 28.04911841271941 -14.333728135965359)))"
"Malla de 250m-20160101.fid-784d4b83_19a7406b760_301c","2016","35015","GRID_250","250mN094225E191900","ES704","ES704A0","ES704A03","35015","28","41.6071","41.632","14","14","100","11","17","60.7143","3","21","4","","","","10.7143","75","14.2857","33.3333","19.0476","14.2857","133.3333","75","","","6.25","448","272","","","","","","","6","4","18","21.4286","14.2857","64.2857","MULTIPOLYGON (((28.04981983292604 -14.331302124240937, 28.052005099943198 -14.331922052066641, 28.052706472036096 -14.32949596005568, 28.050521184828426 -14.32887608261936, 28.04981983292604 -14.331302124240937)))"
"Malla de 250m-20160101.fid-784d4b83_19a7406b760_301d","2016","35015","GRID_250","250mN094225E191925","ES704","ES704A0","ES704A03","35015","74","43.1351","43.1594","34","40","117.6471","49","25","33.7838","9","55","10","","","","12.1622","74.3243","13.5135","34.5455","18.1818","16.3636","111.1111","90","","","6.25","1184","400","","","","","","","18","28","28","24.3243","37.8378","37.8378","MULTIPOLYGON (((28.050521184828426 -14.32887608261936, 28.052706472036096 -14.32949596005568, 28.053407775822034 -14.327069838145231, 28.051222468425312 -14.326450011102144, 28.050521184828426 -14.32887608261936)))"
"Malla de 250m-20160101.fid-784d4b83_19a7406b760_301e","2016","35015","GRID_250","250mN094300E192000","ES704","ES704A0","ES704A03","35015","15","39.4333","39.4309","11","4","36.3636","12","3","20","","11","","","","","","73.3333","","","","","","","","","6.25","240","48","","","","","","","6","5","4","40","33.3333","26.6667","MULTIPOLYGON (((28.059180819895623 -14.323457108054914, 28.06136611355305 -14.324076985241964, 28.062067272974357 -14.321650622407608, 28.059881959127328 -14.321030795635409, 28.059180819895623 -14.323457108054914)))"
"Malla de 250m-20160101.fid-784d4b83_19a7406b760_301f","2016","35015","GRID_250","250mN094250E191750","ES704","ES704A0","ES704A03","35015","138","36.2174","36.2368","72","66","91.6667","99","39","28.2609","27","104","7","","","","19.5652","75.3623","5.0725","32.6923","6.7308","25.9615","25.9259","385.7143","","","6.24","2211.5385","625","","","","","","","23","54","61","16.6667","39.1304","44.2029","MULTIPOLYGON (((28.047907661016787 -14.346509833105255, 28.049980560800456 -14.347098256581722, 28.050682362909217 -14.34467229363007, 28.048497214918804 -14.344052063575853, 28.047839027522237 -14.34632728436266, 28.047907661016787 -14.346509833105255)))"
