"geocode","etiqueta","granularidad","gcd_isla","gcd_municipio","superficie","utm_x","utm_y","longitud","latitud"
"250mN094250E191975","250mN094250E191975","GRID_250","ES704","35015","6.25","566458.28","3103540.67","-14.32374","28.055552"
"250mN094250E192000","250mN094250E192000","GRID_250","ES704","35015","6.25","566696.28","3103619.67","-14.321314","28.056253"
"250mN094250E192025","250mN094250E192025","GRID_250","ES704","35015","6.25","566934.29","3103698.67","-14.318888","28.056954"
"250mN094250E192050","250mN094250E192050","GRID_250","ES704","35015","6.2112","567170.45","3103784.83","-14.31648","28.05772"
"250mN094250E192075","250mN094250E192075","GRID_250","ES704","35015","2.8923","567339.63","3103839.95","-14.314755","28.058209"
"250mN094275E191600","250mN094275E191600","GRID_250","ES704","35015","1.6217","562816.86","3102678.65","-14.360839","28.047949"
"250mN094275E191625","250mN094275E191625","GRID_250","ES704","35015","1.4622","563051.24","3102755.45","-14.35845","28.048631"
"250mN094275E191650","250mN094275E191650","GRID_250","ES704","35015","1.9347","563335.3","3102876.38","-14.355553","28.049709"
"250mN094275E191675","250mN094275E191675","GRID_250","ES704","35015","3.6734","563528.68","3102877.89","-14.353585","28.049713"
"250mN094275E191700","250mN094275E191700","GRID_250","ES704","35015","5.4308","563776.76","3102917.84","-14.351059","28.050062"
"250mN094275E191725","250mN094275E191725","GRID_250","ES704","35015","6.25","564015.95","3102992.27","-14.348621","28.050722"
"250mN094275E191750","250mN094275E191750","GRID_250","ES704","35015","6.25","564253.96","3103071.3","-14.346195","28.051424"
"250mN094275E191775","250mN094275E191775","GRID_250","ES704","35015","6.25","564491.96","3103150.32","-14.343769","28.052126"
"250mN094275E191800","250mN094275E191800","GRID_250","ES704","35015","6.25","564729.97","3103229.35","-14.341343","28.052828"
"250mN094275E191825","250mN094275E191825","GRID_250","ES704","35015","6.25","564967.98","3103308.36","-14.338917","28.053529"
"250mN094275E191850","250mN094275E191850","GRID_250","ES704","35015","6.25","565205.98","3103387.38","-14.336491","28.054231"
"250mN094275E191875","250mN094275E191875","GRID_250","ES704","35015","6.25","565443.99","3103466.4","-14.334065","28.054932"
"250mN094275E191900","250mN094275E191900","GRID_250","ES704","35015","6.25","565682","3103545.41","-14.331639","28.055634"
"250mN094275E191925","250mN094275E191925","GRID_250","ES704","35015","6.25","565920.01","3103624.41","-14.329213","28.056335"
"250mN094275E191950","250mN094275E191950","GRID_250","ES704","35015","6.25","566158.01","3103703.42","-14.326787","28.057036"
"250mN094275E191975","250mN094275E191975","GRID_250","ES704","35015","6.25","566396.02","3103782.42","-14.32436","28.057738"
"250mN094275E192000","250mN094275E192000","GRID_250","ES704","35015","6.25","566634.03","3103861.42","-14.321934","28.058439"
"250mN094275E192025","250mN094275E192025","GRID_250","ES704","35015","6.25","566872.03","3103940.42","-14.319508","28.05914"
"250mN094275E192050","250mN094275E192050","GRID_250","ES704","35015","6.25","567110.04","3104019.42","-14.317081","28.059841"
"250mN094275E192075","250mN094275E192075","GRID_250","ES704","35015","6.2458","567346.91","3104102.83","-14.314666","28.060582"
"250mN094275E192100","250mN094275E192100","GRID_250","ES704","35015","3.4102","567529.54","3104193.81","-14.312803","28.061394"
"250mN094275E192125","250mN094275E192125","GRID_250","ES704","35015","0.1308","567689.59","3104317.55","-14.311167","28.062502"
"250mN094300E191575","250mN094300E191575","GRID_250","ES704","35015","0.8795","562574.62","3102766.74","-14.363298","28.048755"
"250mN094300E191600","250mN094300E191600","GRID_250","ES704","35015","0.3705","562660.07","3102920.68","-14.362421","28.050141"
"250mN094300E191625","250mN094300E191625","GRID_250","ES704","35015","4.2487","563011.1","3102952.07","-14.358848","28.050407"
"250mN094300E191650","250mN094300E191650","GRID_250","ES704","35015","6.25","563239.66","3102996.91","-14.35652","28.050801"
"250mN094300E191675","250mN094300E191675","GRID_250","ES704","35015","6.25","563477.67","3103075.94","-14.354094","28.051503"
"250mN094300E191700","250mN094300E191700","GRID_250","ES704","35015","6.25","563715.68","3103154.98","-14.351668","28.052205"
"250mN094300E191725","250mN094300E191725","GRID_250","ES704","35015","6.25","563953.68","3103234.01","-14.349242","28.052907"
"250mN094300E191750","250mN094300E191750","GRID_250","ES704","35015","6.25","564191.69","3103313.04","-14.346816","28.053609"
"250mN094300E191775","250mN094300E191775","GRID_250","ES704","35015","6.25","564429.7","3103392.06","-14.34439","28.054311"
"250mN094300E191800","250mN094300E191800","GRID_250","ES704","35015","6.25","564667.71","3103471.09","-14.341964","28.055013"
"250mN094300E191825","250mN094300E191825","GRID_250","ES704","35015","6.25","564905.72","3103550.11","-14.339538","28.055714"
"250mN094300E191850","250mN094300E191850","GRID_250","ES704","35015","6.25","565143.72","3103629.13","-14.337111","28.056416"
"250mN094300E191875","250mN094300E191875","GRID_250","ES704","35015","6.25","565381.73","3103708.14","-14.334685","28.057117"
"250mN094300E191900","250mN094300E191900","GRID_250","ES704","35015","6.25","565619.74","3103787.15","-14.332259","28.057819"
"250mN094300E191925","250mN094300E191925","GRID_250","ES704","35015","6.25","565857.75","3103866.16","-14.329833","28.05852"
"250mN094300E191950","250mN094300E191950","GRID_250","ES704","35015","6.25","566095.75","3103945.17","-14.327406","28.059222"
"250mN094300E191975","250mN094300E191975","GRID_250","ES704","35015","6.25","566333.76","3104024.17","-14.32498","28.059923"
"250mN094300E192000","250mN094300E192000","GRID_250","ES704","35015","6.25","566571.77","3104103.17","-14.322554","28.060624"
"250mN094300E192025","250mN094300E192025","GRID_250","ES704","35015","6.25","566809.78","3104182.17","-14.320128","28.061325"
"250mN094300E192050","250mN094300E192050","GRID_250","ES704","35015","6.25","567047.78","3104261.17","-14.317701","28.062026"
"250mN094300E192075","250mN094300E192075","GRID_250","ES704","35015","6.25","567285.79","3104340.16","-14.315275","28.062727"
"250mN094300E192100","250mN094300E192100","GRID_250","ES704","35015","6.25","567523.8","3104419.15","-14.312848","28.063428"
"250mN094300E192125","250mN094300E192125","GRID_250","ES704","35015","5.2427","567738.06","3104470.37","-14.310665","28.063879"
"250mN094300E192150","250mN094300E192150","GRID_250","ES704","35015","1.1343","567906.35","3104633.46","-14.308943","28.065343"
"250mN094325E191575","250mN094325E191575","GRID_250","ES704","35015","0.5975","562475.27","3103023.9","-14.364296","28.051081"
"250mN094325E191600","250mN094325E191600","GRID_250","ES704","35015","3.1309","562715.94","3103131.96","-14.361841","28.052045"
"250mN094325E191625","250mN094325E191625","GRID_250","ES704","35015","6.25","562939.38","3103159.6","-14.359566","28.052284"
